acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,122,,,,None,1,m,0,42,,,,,,,,,,,,,m,145,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,43,,,,,,,,,,,,,m,128,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,44,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,45,,,,,,,,,,,,,m,117,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,46,,,,,,,,,,,,,m,143,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,47,,,,,,,,,,,,,m,147,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,48,,,,,,,,,,,,,m,133,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,49,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,94,,,,None,1,m,0,0,,,,,,,,,,,,,m,94,,,,,,,,,1,,None
100,100,99,,,,None,1,m,0,1,,,,,,,,,,,,,m,104,,,,,,,,,1,,None
100,100,104,,,,None,1,m,0,2,,,,,,,,,,,,,m,113,,,,,,,,,1,,None
100,100,101,,,,None,1,m,0,3,,,,,,,,,,,,,m,93,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,4,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,109,,,,None,1,m,0,5,,,,,,,,,,,,,m,113,,,,,,,,,1,,None
100,100,107,,,,None,1,m,0,6,,,,,,,,,,,,,m,93,,,,,,,,,1,,None
100,100,107,,,,None,1,m,0,7,,,,,,,,,,,,,m,106,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,8,,,,,,,,,,,,,m,119,,,,,,,,,1,,None
100,100,106,,,,None,1,m,0,9,,,,,,,,,,,,,m,87,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,10,,,,,,,,,,,,,m,133,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,11,,,,,,,,,,,,,m,108,,,,,,,,,1,,None
100,100,110,,,,None,1,m,0,12,,,,,,,,,,,,,m,133,,,,,,,,,1,,None
100,100,111,,,,None,1,m,0,13,,,,,,,,,,,,,m,128,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,14,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,15,,,,,,,,,,,,,m,108,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,16,,,,,,,,,,,,,m,124,,,,,,,,,1,,None
100,100,113,,,,None,1,m,0,17,,,,,,,,,,,,,m,120,,,,,,,,,1,,None
100,100,114,,,,None,1,m,0,18,,,,,,,,,,,,,m,128,,,,,,,,,1,,None
100,100,115,,,,None,1,m,0,19,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,20,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,21,,,,,,,,,,,,,m,120,,,,,,,,,1,,None
