"","id","condition","span","correct_answer","participant_answer","correct","rt","percent_correct"
"130","16","letters","7","uptxiif","uptxvif","FALSE",358,85.71
"131","16","numbers","3","395","395","TRUE",470,100
"132","16","numbers","3","183","183","TRUE",498,100
"133","16","numbers","4","6554","6554","TRUE",1053,75
"134","16","numbers","4","5551","5551","TRUE",574,50
"135","16","numbers","5","524122","52412","FALSE",1297,66.67
"136","16","numbers","5","296466","29646","FALSE",2112,66.67
"137","16","numbers","6","433644","433645","FALSE",492,50
"138","16","numbers","6","318444","318444","TRUE",360,66.67
"139","16","numbers","7","6399664","6399654","FALSE",3839,57.14
"140","16","numbers","7","9618554","9618534","FALSE",1948,85.71
"141","15","letters","3","vjy","vjy","TRUE",695,100
"142","22","letters","3","vjy","vjy","TRUE",629,100
"143","22","letters","3","zvy","zvy","TRUE",419,100
"144","22","letters","4","zxmy","zxym","FALSE",488,100
"145","22","letters","4","tqtf","tqtf","TRUE",478,75
"146","22","letters","5","dyvfxx","dqzyf","FALSE",247,50
"147","22","letters","5","imvtkk","imvtk","FALSE",721,83.33
"148","22","letters","6","grypyy","grypyr","FALSE",486,66.67
"149","22","letters","6","imuuee","imuuer","FALSE",505,66.67
"150","22","letters","7","vezgssl","imvzql","FALSE",462,42.86
"151","22","letters","7","uptxiif","yptxipfy","FALSE",406,71.43
"152","22","numbers","3","395","395","TRUE",550,100
"153","22","numbers","3","183","183","TRUE",383,100
"154","22","numbers","4","6554","6554","TRUE",566,75
"155","22","numbers","4","5551","5551","TRUE",620,50
"156","22","numbers","5","524122","52412","FALSE",441,66.67
"157","22","numbers","5","296466","52412","FALSE",175,33.33
"158","22","numbers","6","433644","43356","FALSE",543,50
"159","22","numbers","6","318444","8444","FALSE",664,33.33
"160","22","numbers","7","6399664","56344","FALSE",267,42.86
"161","22","numbers","7","9618554","568415","FALSE",583,71.43
"162","23","letters","3","vjy","vjy","TRUE",272,100
"163","23","letters","3","zvy","zvy","TRUE",2426,100
"164","23","letters","4","zxmy","zxmy","TRUE",712,100
"165","23","letters","4","tqtf","tqtf","TRUE",552,75
"166","23","letters","5","dyvfxx","dyfvx","FALSE",1198,83.33
"167","23","letters","5","imvtkk","imvtk","FALSE",701,83.33
"168","23","letters","6","grypyy","grypyr","FALSE",461,66.67
"169","23","letters","6","imuuee","imuuer","FALSE",283,66.67
"170","23","letters","7","vezgssl","vezgsulr","FALSE",224,85.71
"171","23","letters","7","uptxiif","uptixpf","FALSE",486,85.71
"172","23","numbers","3","395","395","TRUE",395,100
"173","23","numbers","3","183","183","TRUE",474,100
"174","23","numbers","4","6554","6554","TRUE",381,75
"175","23","numbers","4","5551","5551","TRUE",315,50
"176","23","numbers","5","524122","52412","FALSE",776,66.67
"177","23","numbers","5","296466","29646","FALSE",651,66.67
"178","23","numbers","6","433644","433645","FALSE",305,50
"179","23","numbers","6","318444","318444","TRUE",122,66.67
"180","23","numbers","7","6399664","6399654","FALSE",976,57.14
"181","23","numbers","7","9618554","9618534","FALSE",325,85.71
"182","25","letters","3","vjy","vjy","TRUE",1282,100
"183","25","letters","3","zvy","zvy","TRUE",409,100
"184","25","letters","4","zxmy","zxmy","TRUE",468,100
"185","25","letters","4","tqtf","tqtf","TRUE",283,75
"186","25","letters","5","dyvfxx","dyvfx","FALSE",3500,83.33
"187","25","letters","5","imvtkk","mivtk","FALSE",728,83.33
"188","25","letters","6","grypyy","grypyr","FALSE",423,66.67
"189","25","letters","6","imuuee","imuuer","FALSE",788,66.67
"190","25","letters","7","vezgssl","vsqzl","FALSE",508,57.14
"191","25","letters","7","uptxiif","upxtivl","FALSE",533,71.43
"192","25","numbers","3","395","395","TRUE",209,100
"193","25","numbers","3","183","183","TRUE",405,100
"194","25","numbers","4","6554","6554","TRUE",275,75
"195","25","numbers","4","5551","5551","TRUE",385,50
"196","25","numbers","5","524122","52412","FALSE",847,66.67
"197","25","numbers","5","296466","29646","FALSE",489,66.67
"198","25","numbers","6","433644","433646","FALSE",309,50
"199","25","numbers","6","318444","318444","TRUE",266,66.67
"200","25","numbers","7","6399664","6399654","FALSE",334,57.14
"201","25","numbers","7","9618554","lshift???","FALSE",348,0
"202","21","letters","3","vjy","vjy","TRUE",553,100
"203","21","letters","3","zvy","zvy","TRUE",606,100
"204","21","letters","4","zxmy","zxmy","TRUE",582,100
"205","21","letters","4","tqtf","tqtf","TRUE",1443,75
"206","21","letters","5","dyvfxx","dyvxf","FALSE",1293,83.33
"207","21","letters","5","imvtkk","imvtk","FALSE",1475,83.33
"208","21","letters","6","grypyy","grypyr","FALSE",1817,66.67
"209","21","letters","6","imuuee","imuuer","FALSE",456,66.67
"210","21","letters","7","vezgssl","veszql","FALSE",656,71.43
"211","21","letters","7","uptxiif","uptxip","FALSE",768,71.43
"212","21","numbers","3","395","395","TRUE",832,100
"213","21","numbers","3","183","183","TRUE",611,100
"214","21","numbers","4","6554","6554","TRUE",545,75
"215","21","numbers","4","5551","5551","TRUE",930,50
"216","21","numbers","5","524122","52412","FALSE",2106,66.67
"217","21","numbers","5","296466","29646","FALSE",1209,66.67
"218","21","numbers","6","433644","436534","FALSE",144,50
"219","21","numbers","6","318444","318444","TRUE",511,66.67
"220","21","numbers","7","6399664","339945","FALSE",163,42.86
"221","21","numbers","7","9618554","9618534","FALSE",728,85.71
"222","14","letters","3","vjy","vjy","TRUE",608,100
"223","13","letters","3","vjy","vjy","TRUE",1926,100
"224","12","letters","3","vjy","vjy","TRUE",784,100
"225","12","letters","3","zvy","zvy","TRUE",887,100
"226","12","letters","4","zxmy","zxmy","TRUE",604,100
"227","12","letters","4","tqtf","tqtf","TRUE",378,75
"228","12","letters","5","dyvfxx","dyvfx","FALSE",733,83.33
"229","12","letters","5","imvtkk","imvtk","FALSE",1238,83.33
"230","12","letters","6","grypyy","grypyr","FALSE",781,66.67
"231","12","letters","6","imuuee","imuuer","FALSE",714,66.67
"232","12","letters","7","vezgssl","vezglsq","FALSE",1508,85.71
"233","12","letters","7","uptxiif","uptxif","FALSE",1989,85.71
"234","12","numbers","3","395","395","TRUE",1020,100
"235","12","numbers","3","183","183","TRUE",711,100
"236","12","numbers","4","6554","6554","TRUE",546,75
"237","12","numbers","4","5551","5551","TRUE",776,50
"238","12","numbers","5","524122","52412","FALSE",708,66.67
"239","12","numbers","5","296466","29646","FALSE",2453,66.67
"240","12","numbers","6","433644","32496","FALSE",1766,50
"241","12","numbers","6","318444","318444","TRUE",716,66.67
"242","12","numbers","7","6399664","396144","FALSE",535,57.14
"243","12","numbers","7","9618554","964","FALSE",1221,42.86
"244","11","letters","3","vjy","vjy","TRUE",544,100
"245","11","letters","3","zvy","zvy","TRUE",1096,100
"246","11","letters","4","zxmy","zxmy","TRUE",1759,100
"247","11","letters","4","tqtf","tqtf","TRUE",813,75
"248","11","letters","5","dyvfxx","dyvfx","FALSE",993,83.33
"249","11","letters","5","imvtkk","imvtk","FALSE",916,83.33
"250","11","letters","6","grypyy","grypyr","FALSE",837,66.67
"251","11","letters","6","imuuee","imuuer","FALSE",2060,66.67
"252","11","letters","7","vezgssl","vezgsql","FALSE",1477,85.71
"253","11","letters","7","uptxiif","upxitf","FALSE",699,85.71
"254","11","numbers","3","395","395","TRUE",608,100
"255","11","numbers","3","183","183","TRUE",534,100
"256","11","numbers","4","6554","6554","TRUE",584,75
"257","11","numbers","4","5551","5551","TRUE",668,50
"258","11","numbers","5","524122","52412","FALSE",1622,66.67
"259","11","numbers","5","296466","29646","FALSE",1409,66.67
"260","11","numbers","6","433644","433645","FALSE",700,50
"261","11","numbers","6","318444","318444","TRUE",992,66.67
"262","11","numbers","7","6399664","3699654","FALSE",1248,57.14
"263","11","numbers","7","9618554","9618534","FALSE",1514,85.71
"264","10","letters","3","vjy","vjy","TRUE",1599,100
"265","10","letters","3","zvy","zvy","TRUE",551,100
"266","10","letters","4","zxmy","zxmy","TRUE",700,100
"267","10","letters","4","tqtf","tqtf","TRUE",690,75
"268","10","letters","5","dyvfxx","dyfvx","FALSE",390,83.33
"269","10","letters","5","imvtkk","imvtk","FALSE",2103,83.33
"270","10","letters","6","grypyy","gryvpr","FALSE",1088,66.67
"271","10","letters","6","imuuee","imuuer","FALSE",293,66.67
"272","10","letters","7","vezgssl","verqzl","FALSE",447,57.14
"273","10","letters","7","uptxiif","uptxvf","FALSE",392,71.43
"274","10","numbers","3","395","395","TRUE",291,100
"275","10","numbers","3","183","183","TRUE",356,100
"276","10","numbers","4","6554","6584","FALSE",394,75
"277","10","numbers","4","5551","5551","TRUE",603,50
"278","10","numbers","5","524122","52412","FALSE",569,66.67
"279","10","numbers","5","296466","29416","FALSE",1960,66.67
"280","10","numbers","6","433644","4563","FALSE",394,50
"281","10","numbers","6","318444","318444","TRUE",1410,66.67
"282","10","numbers","7","6399664","639964","FALSE",1459,57.14
"283","10","numbers","7","9618554","9618534","FALSE",883,85.71
"284","9","letters","3","vjy","vjy","TRUE",2220,100
"285","9","letters","3","zvy","zvy","TRUE",2090,100
"286","9","letters","4","zxmy","zxmy","TRUE",4686,100
"287","9","letters","4","tqtf","tqtf","TRUE",4425,75
"288","9","letters","5","dyvfxx","dyvfx","FALSE",5660,83.33
"289","9","letters","5","imvtkk","imvtk","FALSE",4253,83.33
